DC	NIR	rededge	red	green	NDVI	NDRE	GNDVI	SAVI
1.37	0.690	0.230	0.051	0.085	0.863	0.499	0.804	0.773
1.39	0.650	0.195	0.041	0.070	0.863	0.539	0.806	0.767
2.07	0.533	0.271	0.053	0.066	0.833	0.325	0.779	0.662
1.81	0.537	0.270	0.049	0.064	0.833	0.331	0.779	0.674
1.50	0.534	0.277	0.054	0.075	0.830	0.316	0.753	0.661
2.13	0.546	0.268	0.051	0.066	0.830	0.341	0.753	0.677
1.45	0.688	0.211	0.043	0.077	0.861	0.530	0.799	0.785
1.27	0.722	0.224	0.043	0.082	0.861	0.526	0.795	0.805
1.19	0.691	0.239	0.052	0.087	0.861	0.485	0.776	0.772
1.32	0.655	0.205	0.040	0.072	0.861	0.523	0.776	0.773
2.04	0.533	0.275	0.057	0.069	0.832	0.319	0.782	0.655
1.71	0.544	0.285	0.050	0.067	0.832	0.313	0.782	0.677
1.76	0.519	0.268	0.053	0.066	0.832	0.318	0.782	0.652
1.86	0.579	0.298	0.059	0.075	0.832	0.321	0.782	0.685
1.82	0.670	0.208	0.043	0.081	0.880	0.526	0.791	0.776
1.77	0.709	0.223	0.047	0.083	0.876	0.522	0.791	0.791
1.92	0.716	0.232	0.049	0.085	0.871	0.510	0.791	0.791
1.87	0.699	0.230	0.043	0.082	0.884	0.505	0.790	0.792
2.10	0.521	0.268	0.052	0.066	0.817	0.320	0.776	0.655
1.77	0.560	0.295	0.053	0.072	0.817	0.310	0.773	0.683
1.88	0.526	0.275	0.055	0.068	0.811	0.314	0.770	0.654
1.85	0.526	0.271	0.056	0.069	0.809	0.320	0.769	0.652
1.34	0.698	0.220	0.044	0.083	0.880	0.521	0.769	0.784
1.42	0.690	0.220	0.045	0.080	0.880	0.516	0.769	0.784
1.32	0.714	0.233	0.047	0.084	0.880	0.508	0.769	0.784
1.36	0.677	0.218	0.041	0.077	0.880	0.513	0.769	0.782
